ICB Sub location,GP_ODS_CODE
42D,B82016
42D,B82017
03Q,B82018
42D,B82019
03Q,B82021
42D,B82022
42D,B82023
42D,B82024
42D,B82025
03Q,B82026
42D,B82027
42D,B82029
42D,B82030
03Q,B82031
42D,B82032
03Q,B82033
42D,B82034
42D,B82035
42D,B82036
42D,B82037
42D,B82038
03Q,B82041
42D,B82042
42D,B82044
42D,B82045
42D,B82046
03Q,B82047
42D,B82049
42D,B82050
36J,B82053
42D,B82054
42D,B82057
42D,B82059
42D,B82060
01K,B82061
42D,B82063
03Q,B82064
42D,B82066
42D,B82067
03Q,B82068
42D,B82069
03Q,B82071
42D,B82072
03Q,B82073
03Q,B82074
42D,B82075
03Q,B82077
42D,B82078
03Q,B82079
03Q,B82080
03Q,B82081
03Q,B82083
42D,B82086
42D,B82088
03Q,B82097
03Q,B82098
03Q,B82100
42D,B82101
42D,B82104
03Q,B82105
42D,B82106
42D,B82609
03Q,B82619
42D,B82622
42D,B82628
36J,B83002
36J,B83005
36J,B83008
36J,B83009
36J,B83010
36J,B83012
36J,B83014
36J,B83015
36J,B83016
36J,B83018
36J,B83019
36J,B83020
36J,B83022
36J,B83025
36J,B83026
36J,B83028
36J,B83029
36J,B83031
36J,B83032
36J,B83033
36J,B83034
36J,B83035
36J,B83037
36J,B83038
36J,B83039
36J,B83041
36J,B83042
36J,B83045
36J,B83051
36J,B83052
36J,B83054
36J,B83055
36J,B83056
36J,B83058
36J,B83062
36J,B83063
36J,B83064
36J,B83067
36J,B83604
36J,B83611
36J,B83614
36J,B83620
36J,B83622
36J,B83624
36J,B83626
36J,B83627
36J,B83628
36J,B83629
36J,B83641
36J,B83642
36J,B83653
36J,B83657
36J,B83659
36J,B83660
36J,B83661
02T,B84001
02T,B84003
02T,B84004
02T,B84006
02T,B84007
02T,B84008
02T,B84009
02T,B84010
02T,B84011
02T,B84012
02T,B84013
02T,B84014
02T,B84016
02T,B84019
02T,B84021
02T,B84612
02T,B84613
02T,B84618
02T,B84623
X2C4Y,B85001
X2C4Y,B85002
X2C4Y,B85004
X2C4Y,B85005
X2C4Y,B85006
X2C4Y,B85008
X2C4Y,B85009
X2C4Y,B85010
X2C4Y,B85012
X2C4Y,B85014
X2C4Y,B85015
X2C4Y,B85016
X2C4Y,B85018
X2C4Y,B85019
X2C4Y,B85020
X2C4Y,B85021
X2C4Y,B85022
X2C4Y,B85023
X2C4Y,B85024
X2C4Y,B85025
X2C4Y,B85026
X2C4Y,B85027
X2C4Y,B85028
X2C4Y,B85030
X2C4Y,B85031
X2C4Y,B85032
X2C4Y,B85033
X2C4Y,B85036
X2C4Y,B85037
X2C4Y,B85038
X2C4Y,B85041
X2C4Y,B85042
X2C4Y,B85044
X2C4Y,B85048
X2C4Y,B85051
X2C4Y,B85054
X2C4Y,B85055
X2C4Y,B85058
X2C4Y,B85059
X2C4Y,B85060
X2C4Y,B85061
X2C4Y,B85062
X2C4Y,B85606
X2C4Y,B85610
X2C4Y,B85611
X2C4Y,B85612
X2C4Y,B85614
X2C4Y,B85619
X2C4Y,B85620
X2C4Y,B85623
X2C4Y,B85634
X2C4Y,B85636
X2C4Y,B85640
X2C4Y,B85641
X2C4Y,B85645
X2C4Y,B85646
X2C4Y,B85650
X2C4Y,B85652
X2C4Y,B85655
X2C4Y,B85659
X2C4Y,B85660
15F,B86002
15F,B86003
15F,B86004
15F,B86005
15F,B86006
15F,B86007
15F,B86008
15F,B86009
15F,B86010
15F,B86011
15F,B86012
15F,B86013
15F,B86014
15F,B86015
15F,B86016
15F,B86017
15F,B86018
15F,B86019
15F,B86020
15F,B86022
15F,B86024
15F,B86025
15F,B86028
15F,B86029
15F,B86030
15F,B86032
15F,B86033
15F,B86034
15F,B86035
15F,B86036
15F,B86038
15F,B86039
15F,B86041
15F,B86042
15F,B86043
15F,B86044
15F,B86048
15F,B86049
15F,B86050
15F,B86051
15F,B86052
15F,B86054
15F,B86055
15F,B86057
15F,B86059
15F,B86060
15F,B86061
15F,B86062
15F,B86064
15F,B86066
15F,B86067
15F,B86068
15F,B86069
15F,B86070
15F,B86071
15F,B86075
15F,B86081
15F,B86086
15F,B86089
15F,B86092
15F,B86093
15F,B86094
15F,B86096
15F,B86100
15F,B86101
15F,B86103
15F,B86104
15F,B86106
15F,B86108
15F,B86109
15F,B86110
15F,B86623
15F,B86642
15F,B86643
15F,B86648
15F,B86655
15F,B86658
15F,B86666
15F,B86667
15F,B86669
15F,B86672
